시도,시군구,사고년도,2023,,,,,
,,,일반국도,지방도,특별광역시도,시군도,고속국도,기타
서울,종로구,사고[건],-,-,979,-,-,9
서울,종로구,사망[명],-,-,8,-,-,0
서울,종로구,부상[명],-,-,"1,322",-,-,9
서울,마포구,사고[건],-,-,"1,241",-,-,9
서울,마포구,사망[명],-,-,14,-,-,0
서울,마포구,부상[명],-,-,"1,706",-,-,9
서울,강서구,사고[건],-,-,"1,453",-,-,65
서울,강서구,사망[명],-,-,9,-,-,0
서울,강서구,부상[명],-,-,"2,023",-,-,89
서울,구로구,사고[건],-,-,"1,184",-,-,175
서울,구로구,사망[명],-,-,4,-,-,1
서울,구로구,부상[명],-,-,"1,598",-,-,242
서울,영등포구,사고[건],-,-,"1,852",-,-,48
서울,영등포구,사망[명],-,-,7,-,-,0
서울,영등포구,부상[명],-,-,"2,554",-,-,65
서울,동작구,사고[건],-,-,"1,240",-,-,2
서울,동작구,사망[명],-,-,6,-,-,0
서울,동작구,부상[명],-,-,"1,666",-,-,2
서울,관악구,사고[건],-,-,863,-,-,117
서울,관악구,사망[명],-,-,10,-,-,0
서울,관악구,부상[명],-,-,"1,103",-,-,149
서울,강남구,사고[건],-,-,"3,554",-,1,371
서울,강남구,사망[명],-,-,7,-,0,0
서울,강남구,부상[명],-,-,"4,758",-,2,469
서울,강동구,사고[건],-,-,954,-,65,166
서울,강동구,사망[명],-,-,2,-,2,0
서울,강동구,부상[명],-,-,"1,212",-,114,196
서울,송파구,사고[건],-,-,"2,534",-,24,56
서울,송파구,사망[명],-,-,10,-,0,0
서울,송파구,부상[명],-,-,"3,478",-,44,81
서울,서초구,사고[건],-,-,"2,070",-,59,39
서울,서초구,사망[명],-,-,6,-,1,0
서울,서초구,부상[명],-,-,"3,075",-,179,65
서울,중구,사고[건],-,-,899,-,-,32
서울,중구,사망[명],-,-,3,-,-,0
서울,중구,부상[명],-,-,"1,157",-,-,37
서울,양천구,사고[건],-,-,"1,215",-,4,2
서울,양천구,사망[명],-,-,5,-,0,0
서울,양천구,부상[명],-,-,"1,617",-,5,2
서울,중랑구,사고[건],-,-,"1,254",-,1,13
서울,중랑구,사망[명],-,-,7,-,0,0
서울,중랑구,부상[명],-,-,"1,687",-,1,16
서울,노원구,사고[건],-,-,"1,239",-,10,117
서울,노원구,사망[명],-,-,8,-,0,1
서울,노원구,부상[명],-,-,"1,702",-,21,146
서울,광진구,사고[건],-,-,675,-,-,42
서울,광진구,사망[명],-,-,4,-,-,0
서울,광진구,부상[명],-,-,854,-,-,45
서울,강북구,사고[건],-,-,967,-,-,5
서울,강북구,사망[명],-,-,5,-,-,0
서울,강북구,부상[명],-,-,"1,212",-,-,5
서울,금천구,사고[건],-,-,855,-,3,18
서울,금천구,사망[명],-,-,7,-,0,0
서울,금천구,부상[명],-,-,"1,202",-,5,25
서울,용산구,사고[건],-,-,791,-,-,205
서울,용산구,사망[명],-,-,10,-,-,1
서울,용산구,부상[명],-,-,"1,096",-,-,270
서울,성동구,사고[건],-,-,874,-,-,45
서울,성동구,사망[명],-,-,6,-,-,0
서울,성동구,부상[명],-,-,"1,163",-,-,58
서울,동대문구,사고[건],-,-,"1,566",-,-,108
서울,동대문구,사망[명],-,-,10,-,-,0
서울,동대문구,부상[명],-,-,"1,917",-,-,122
서울,성북구,사고[건],-,-,"1,240",-,-,16
서울,성북구,사망[명],-,-,8,-,-,0
서울,성북구,부상[명],-,-,"1,562",-,-,19
서울,도봉구,사고[건],-,-,520,-,-,10
서울,도봉구,사망[명],-,-,7,-,-,0
서울,도봉구,부상[명],-,-,674,-,-,11
서울,은평구,사고[건],-,-,"1,037",-,-,2
서울,은평구,사망[명],-,-,7,-,-,0
서울,은평구,부상[명],-,-,"1,351",-,-,2
서울,서대문구,사고[건],-,-,909,-,-,7
서울,서대문구,사망[명],-,-,4,-,-,0
서울,서대문구,부상[명],-,-,"1,206",-,-,14
부산,중구,사고[건],-,-,318,-,-,2
부산,중구,사망[명],-,-,1,-,-,0
부산,중구,부상[명],-,-,464,-,-,2
부산,서구,사고[건],-,-,428,-,-,12
부산,서구,사망[명],-,-,3,-,-,0
부산,서구,부상[명],-,-,603,-,-,13
부산,동구,사고[건],-,-,484,-,-,3
부산,동구,사망[명],-,-,4,-,-,0
부산,동구,부상[명],-,-,730,-,-,8
부산,영도구,사고[건],-,-,247,-,-,1
부산,영도구,사망[명],-,-,4,-,-,0
부산,영도구,부상[명],-,-,328,-,-,1
부산,진구,사고[건],-,-,"1,218",-,-,174
부산,진구,사망[명],-,-,8,-,-,0
부산,진구,부상[명],-,-,"1,656",-,-,231
부산,동래구,사고[건],-,-,955,-,-,20
부산,동래구,사망[명],-,-,9,-,-,1
부산,동래구,부상[명],-,-,"1,233",-,-,20
부산,남구,사고[건],-,-,793,-,-,12
부산,남구,사망[명],-,-,8,-,-,0
부산,남구,부상[명],-,-,"1,016",-,-,16
부산,북구,사고[건],-,-,549,-,1,12
부산,북구,사망[명],-,-,9,-,0,0
부산,북구,부상[명],-,-,732,-,1,15
부산,해운대구,사고[건],-,-,781,-,3,11
부산,해운대구,사망[명],-,-,7,-,0,0
부산,해운대구,부상[명],-,-,"1,087",-,4,12
부산,사하구,사고[건],-,-,829,-,-,1
부산,사하구,사망[명],-,-,10,-,-,0
부산,사하구,부상[명],-,-,"1,017",-,-,1
부산,금정구,사고[건],-,-,667,-,24,27
부산,금정구,사망[명],-,-,7,-,0,0
부산,금정구,부상[명],-,-,911,-,40,31
부산,강서구,사고[건],-,-,717,-,67,3
부산,강서구,사망[명],-,-,10,-,2,0
부산,강서구,부상[명],-,-,"1,015",-,108,5
부산,연제구,사고[건],-,-,659,-,-,10
부산,연제구,사망[명],-,-,3,-,-,0
부산,연제구,부상[명],-,-,867,-,-,13
부산,수영구,사고[건],-,-,754,-,-,10
부산,수영구,사망[명],-,-,3,-,-,0
부산,수영구,부상[명],-,-,"1,000",-,-,15
부산,사상구,사고[건],-,-,643,-,6,-
부산,사상구,사망[명],-,-,9,-,0,-
부산,사상구,부상[명],-,-,881,-,10,-
부산,기장군,사고[건],-,-,502,-,32,28
부산,기장군,사망[명],-,-,5,-,0,0
부산,기장군,부상[명],-,-,759,-,83,39
강원,춘천시,사고[건],220,19,-,970,17,25
강원,춘천시,사망[명],4,1,-,10,0,0
강원,춘천시,부상[명],326,31,-,"1,430",69,30
강원,원주시,사고[건],114,30,-,"1,188",43,48
강원,원주시,사망[명],1,2,-,17,1,0
강원,원주시,부상[명],161,32,-,"1,717",108,58
강원,동해시,사고[건],37,-,-,266,2,10
강원,동해시,사망[명],1,-,-,1,0,0
강원,동해시,부상[명],73,-,-,351,5,12
강원,강릉시,사고[건],175,2,-,557,12,12
강원,강릉시,사망[명],7,0,-,12,0,0
강원,강릉시,부상[명],248,2,-,752,40,15
강원,속초시,사고[건],116,6,-,238,2,-
강원,속초시,사망[명],2,0,-,2,1,-
강원,속초시,부상[명],192,8,-,378,5,-
강원,태백시,사고[건],107,-,-,93,-,-
강원,태백시,사망[명],1,-,-,0,-,-
강원,태백시,부상[명],179,-,-,144,-,-
강원,삼척시,사고[건],62,2,-,135,-,1
강원,삼척시,사망[명],6,1,-,2,-,0
강원,삼척시,부상[명],87,2,-,181,-,3
강원,홍천군,사고[건],53,26,-,112,19,15
강원,홍천군,사망[명],5,1,-,2,0,1
강원,홍천군,부상[명],120,42,-,168,121,15
강원,횡성군,사고[건],49,15,-,83,29,1
강원,횡성군,사망[명],8,2,-,4,1,0
강원,횡성군,부상[명],78,16,-,112,52,1
강원,영월군,사고[건],38,25,-,88,-,-
강원,영월군,사망[명],1,2,-,5,-,-
강원,영월군,부상[명],71,41,-,145,-,-
강원,평창군,사고[건],25,5,-,113,28,5
강원,평창군,사망[명],2,0,-,10,1,0
강원,평창군,부상[명],48,10,-,195,116,5
강원,정선군,사고[건],49,9,-,98,-,9
강원,정선군,사망[명],3,0,-,4,-,0
강원,정선군,부상[명],75,15,-,164,-,16
강원,철원군,사고[건],25,22,-,70,-,-
강원,철원군,사망[명],0,2,-,1,-,-
강원,철원군,부상[명],45,31,-,102,-,-
강원,화천군,사고[건],11,54,-,20,-,1
강원,화천군,사망[명],0,0,-,0,-,0
강원,화천군,부상[명],18,93,-,23,-,3
강원,양구군,사고[건],35,8,-,36,-,14
강원,양구군,사망[명],2,0,-,1,-,0
강원,양구군,부상[명],72,12,-,65,-,21
강원,인제군,사고[건],41,14,-,38,9,5
강원,인제군,사망[명],3,1,-,1,0,0
강원,인제군,부상[명],74,20,-,56,35,6
강원,고성군,사고[건],64,9,-,17,-,21
강원,고성군,사망[명],0,1,-,0,-,1
강원,고성군,부상[명],100,11,-,21,-,24
강원,양양군,사고[건],68,20,-,59,15,-
강원,양양군,사망[명],1,2,-,0,0,-
강원,양양군,부상[명],113,26,-,87,31,-
충북,청주시,사고[건],680,256,-,"3,169",132,100
충북,청주시,사망[명],7,5,-,27,8,1
충북,청주시,부상[명],931,362,-,"4,585",280,115
충북,충주시,사고[건],91,50,-,847,34,4
충북,충주시,사망[명],1,2,-,12,0,1
충북,충주시,부상[명],155,76,-,"1,254",69,7
충북,제천시,사고[건],163,24,-,520,8,22
충북,제천시,사망[명],4,0,-,7,0,0
충북,제천시,부상[명],270,41,-,772,16,25
충북,보은군,사고[건],29,55,-,38,11,-
충북,보은군,사망[명],4,3,-,1,4,-
충북,보은군,부상[명],41,98,-,52,47,-
충북,옥천군,사고[건],34,17,-,80,16,-
충북,옥천군,사망[명],3,2,-,4,3,-
충북,옥천군,부상[명],65,25,-,104,28,-
충북,영동군,사고[건],26,47,-,50,9,2
충북,영동군,사망[명],1,1,-,4,1,0
충북,영동군,부상[명],34,58,-,51,20,2
충북,진천군,사고[건],136,40,-,267,27,6
충북,진천군,사망[명],5,1,-,2,1,0
충북,진천군,부상[명],190,71,-,392,55,6
충북,괴산군,사고[건],37,35,-,67,24,1
충북,괴산군,사망[명],4,3,-,3,2,0
충북,괴산군,부상[명],74,52,-,85,32,1
충북,음성군,사고[건],48,140,-,257,33,1
충북,음성군,사망[명],6,1,-,7,5,0
충북,음성군,부상[명],73,224,-,369,74,1
충북,단양군,사고[건],35,14,-,14,5,32
충북,단양군,사망[명],0,1,-,1,2,1
충북,단양군,부상[명],58,20,-,26,10,46
충북,증평군,사고[건],34,41,-,130,-,1
충북,증평군,사망[명],1,0,-,1,-,1
충북,증평군,부상[명],54,70,-,170,-,0
충남,천안시,사고[건],509,64,-,"2,660",140,30
충남,천안시,사망[명],7,0,-,26,4,0
충남,천안시,부상[명],716,96,-,"3,574",363,36
충남,아산시,사고[건],333,105,-,782,-,69
충남,아산시,사망[명],4,2,-,10,-,0
충남,아산시,부상[명],552,141,-,"1,103",-,85
충남,보령시,사고[건],52,25,-,179,12,11
충남,보령시,사망[명],1,1,-,6,0,0
충남,보령시,부상[명],90,43,-,244,28,13
충남,공주시,사고[건],97,30,-,252,49,11
충남,공주시,사망[명],6,2,-,8,6,0
충남,공주시,부상[명],179,42,-,306,101,16
충남,서산시,사고[건],190,35,-,356,8,94
충남,서산시,사망[명],9,5,-,5,0,4
충남,서산시,부상[명],318,54,-,482,29,112
충남,금산군,사고[건],48,22,-,67,1,1
충남,금산군,사망[명],2,4,-,1,0,0
충남,금산군,부상[명],74,23,-,79,1,1
충남,태안군,사고[건],62,17,-,139,-,-
충남,태안군,사망[명],1,0,-,5,-,-
충남,태안군,부상[명],115,25,-,195,-,-
충남,논산시,사고[건],59,41,-,171,25,2
충남,논산시,사망[명],3,3,-,3,0,0
충남,논산시,부상[명],102,58,-,252,51,2
충남,부여군,사고[건],56,28,-,149,4,-
충남,부여군,사망[명],5,3,-,5,0,-
충남,부여군,부상[명],80,42,-,192,6,-
충남,서천군,사고[건],24,15,-,144,10,33
충남,서천군,사망[명],1,2,-,4,3,1
충남,서천군,부상[명],62,26,-,214,22,43
충남,청양군,사고[건],52,21,-,52,2,38
충남,청양군,사망[명],3,2,-,3,0,1
충남,청양군,부상[명],75,29,-,70,6,52
충남,홍성군,사고[건],15,16,-,198,7,-
충남,홍성군,사망[명],1,1,-,6,1,-
충남,홍성군,부상[명],22,21,-,271,16,-
충남,예산군,사고[건],116,34,-,216,5,3
충남,예산군,사망[명],2,0,-,8,0,0
충남,예산군,부상[명],193,44,-,282,9,3
충남,당진시,사고[건],61,60,-,372,42,26
충남,당진시,사망[명],2,4,-,9,3,0
충남,당진시,부상[명],91,100,-,490,107,30
충남,계룡시,사고[건],15,3,-,39,1,1
충남,계룡시,사망[명],0,0,-,0,0,0
충남,계룡시,부상[명],19,5,-,67,1,1
전북,전주시,사고[건],93,359,-,"1,494",5,30
전북,전주시,사망[명],2,4,-,19,0,1
전북,전주시,부상[명],131,558,-,"2,134",11,36
전북,군산시,사고[건],79,161,-,918,3,22
전북,군산시,사망[명],0,3,-,15,0,0
전북,군산시,부상[명],168,252,-,"1,306",4,27
전북,정읍시,사고[건],59,30,-,234,7,20
전북,정읍시,사망[명],0,4,-,5,3,0
전북,정읍시,부상[명],110,44,-,347,27,31
전북,남원시,사고[건],29,11,-,203,4,14
전북,남원시,사망[명],3,1,-,12,0,0
전북,남원시,부상[명],33,17,-,273,9,14
전북,김제시,사고[건],45,70,-,142,3,1
전북,김제시,사망[명],1,5,-,7,1,0
전북,김제시,부상[명],96,114,-,209,7,1
전북,완주군,사고[건],52,51,-,136,13,5
전북,완주군,사망[명],1,6,-,11,3,0
전북,완주군,부상[명],80,90,-,214,26,7
전북,진안군,사고[건],63,17,-,16,1,-
전북,진안군,사망[명],5,0,-,1,0,-
전북,진안군,부상[명],95,32,-,17,1,-
전북,무주군,사고[건],30,16,-,32,1,-
전북,무주군,사망[명],1,0,-,2,1,-
전북,무주군,부상[명],54,36,-,44,0,-
전북,장수군,사고[건],15,6,-,20,5,2
전북,장수군,사망[명],3,1,-,3,1,0
전북,장수군,부상[명],24,6,-,23,5,2
전북,임실군,사고[건],30,20,-,20,2,3
전북,임실군,사망[명],4,1,-,0,1,0
전북,임실군,부상[명],54,30,-,26,4,4
전북,순창군,사고[건],33,10,-,50,-,2
전북,순창군,사망[명],1,0,-,2,-,0
전북,순창군,부상[명],51,12,-,65,-,4
전북,고창군,사고[건],76,29,-,27,5,12
전북,고창군,사망[명],5,2,-,3,0,4
전북,고창군,부상[명],106,33,-,33,5,11
