시도,시군구,사고년도,2023,,,,,
전북,부안군,사고[건],26,16,-,122,2,2
전북,부안군,사망[명],1,2,-,3,1,0
전북,부안군,부상[명],45,23,-,167,2,4
전북,익산시,사고[건],48,71,-,694,10,3
전북,익산시,사망[명],3,2,-,11,0,0
전북,익산시,부상[명],65,98,-,953,24,4
전남,목포시,사고[건],96,29,-,"1,071",1,10
전남,목포시,사망[명],1,0,-,9,0,0
전남,목포시,부상[명],140,43,-,"1,641",4,12
전남,여수시,사고[건],26,61,-,"1,082",-,136
전남,여수시,사망[명],1,1,-,17,-,0
전남,여수시,부상[명],46,67,-,"1,514",-,191
전남,순천시,사고[건],59,57,-,929,31,57
전남,순천시,사망[명],2,0,-,11,4,1
전남,순천시,부상[명],99,102,-,"1,295",63,78
전남,나주시,사고[건],117,57,-,298,9,49
전남,나주시,사망[명],4,3,-,8,0,2
전남,나주시,부상[명],234,95,-,531,19,62
전남,광양시,사고[건],28,63,-,463,12,66
전남,광양시,사망[명],0,1,-,10,0,0
전남,광양시,부상[명],82,104,-,652,20,100
전남,담양군,사고[건],105,45,-,86,17,26
전남,담양군,사망[명],4,0,-,2,2,1
전남,담양군,부상[명],176,74,-,129,35,36
전남,곡성군,사고[건],27,34,-,11,10,43
전남,곡성군,사망[명],2,1,-,0,0,1
전남,곡성군,부상[명],47,64,-,13,16,51
전남,구례군,사고[건],11,10,-,47,5,29
전남,구례군,사망[명],2,0,-,1,0,1
전남,구례군,부상[명],21,17,-,85,11,56
전남,고흥군,사고[건],47,49,-,89,-,13
전남,고흥군,사망[명],6,2,-,4,-,1
전남,고흥군,부상[명],80,66,-,107,-,14
전남,보성군,사고[건],39,51,-,55,4,34
전남,보성군,사망[명],2,3,-,5,0,0
전남,보성군,부상[명],71,77,-,71,9,42
전남,화순군,사고[건],45,80,-,136,-,7
전남,화순군,사망[명],4,3,-,4,-,1
전남,화순군,부상[명],81,152,-,195,-,12
전남,장흥군,사고[건],54,39,-,129,1,25
전남,장흥군,사망[명],3,1,-,0,0,0
전남,장흥군,부상[명],87,51,-,185,4,34
전남,강진군,사고[건],76,102,-,105,5,1
전남,강진군,사망[명],3,2,-,3,0,0
전남,강진군,부상[명],201,154,-,146,21,1
전남,해남군,사고[건],51,22,-,187,-,3
전남,해남군,사망[명],6,1,-,4,-,0
전남,해남군,부상[명],94,28,-,252,-,4
전남,영암군,사고[건],185,38,-,184,3,8
전남,영암군,사망[명],10,3,-,6,0,0
전남,영암군,부상[명],336,59,-,286,7,12
전남,무안군,사고[건],47,15,-,149,17,10
전남,무안군,사망[명],4,2,-,7,0,0
전남,무안군,부상[명],64,23,-,184,34,14
전남,함평군,사고[건],73,29,-,53,12,13
전남,함평군,사망[명],3,0,-,0,2,1
전남,함평군,부상[명],124,39,-,100,18,14
전남,영광군,사고[건],30,12,-,72,4,16
전남,영광군,사망[명],0,0,-,3,0,1
전남,영광군,부상[명],40,21,-,105,8,21
전남,장성군,사고[건],41,33,-,80,22,15
전남,장성군,사망[명],2,1,-,4,1,0
전남,장성군,부상[명],97,41,-,105,40,23
전남,완도군,사고[건],58,1,-,76,-,11
전남,완도군,사망[명],2,0,-,5,-,1
전남,완도군,부상[명],70,2,-,104,-,13
전남,진도군,사고[건],52,2,-,54,-,6
전남,진도군,사망[명],4,0,-,6,-,0
전남,진도군,부상[명],86,2,-,64,-,6
전남,신안군,사고[건],2,8,-,92,-,2
전남,신안군,사망[명],0,1,-,8,-,0
전남,신안군,부상[명],3,9,-,154,-,2
경북,포항시,사고[건],125,445,-,"1,927",6,51
경북,포항시,사망[명],5,4,-,13,1,0
경북,포항시,부상[명],166,732,-,"2,856",11,64
경북,경주시,사고[건],204,114,-,768,14,76
경북,경주시,사망[명],11,6,-,23,1,1
경북,경주시,부상[명],318,162,-,"1,065",33,92
경북,김천시,사고[건],52,86,-,177,18,43
경북,김천시,사망[명],0,5,-,3,1,1
경북,김천시,부상[명],78,104,-,234,32,52
경북,안동시,사고[건],116,17,-,562,9,18
경북,안동시,사망[명],2,1,-,13,0,1
경북,안동시,부상[명],192,38,-,882,14,18
경북,구미시,사고[건],83,46,-,"1,240",31,53
경북,구미시,사망[명],3,1,-,16,2,0
경북,구미시,부상[명],119,69,-,"1,681",66,60
경북,영주시,사고[건],32,5,-,246,4,3
경북,영주시,사망[명],0,0,-,10,0,0
경북,영주시,부상[명],51,5,-,320,11,4
경북,영천시,사고[건],15,6,-,396,35,9
경북,영천시,사망[명],2,0,-,15,3,0
경북,영천시,부상[명],23,10,-,572,81,12
경북,문경시,사고[건],34,44,-,184,22,12
경북,문경시,사망[명],0,4,-,2,2,0
경북,문경시,부상[명],51,50,-,238,63,16
경북,상주시,사고[건],65,54,-,281,31,1
경북,상주시,사망[명],3,6,-,5,4,0
경북,상주시,부상[명],101,69,-,355,78,4
경북,군위군,사고[건],23,10,-,-,5,11
경북,군위군,사망[명],2,1,-,-,0,0
경북,군위군,부상[명],30,12,-,-,6,16
경북,의성군,사고[건],48,56,-,92,10,12
경북,의성군,사망[명],0,0,-,0,2,0
경북,의성군,부상[명],85,78,-,118,18,15
경북,청송군,사고[건],22,22,-,62,1,6
경북,청송군,사망[명],4,1,-,1,0,0
경북,청송군,부상[명],38,41,-,83,4,9
경북,영양군,사고[건],14,20,-,1,-,27
경북,영양군,사망[명],3,4,-,0,-,1
경북,영양군,부상[명],19,27,-,1,-,37
경북,영덕군,사고[건],81,18,-,134,1,3
경북,영덕군,사망[명],3,3,-,2,0,0
경북,영덕군,부상[명],154,25,-,201,1,5
경북,청도군,사고[건],59,22,-,64,19,25
경북,청도군,사망[명],2,3,-,3,0,0
경북,청도군,부상[명],95,28,-,76,44,30
경북,고령군,사고[건],18,11,-,74,10,1
경북,고령군,사망[명],0,2,-,4,0,0
경북,고령군,부상[명],23,21,-,88,17,2
경북,성주군,사고[건],40,22,-,121,10,31
경북,성주군,사망[명],2,0,-,3,3,2
경북,성주군,부상[명],61,38,-,187,15,46
경북,칠곡군,사고[건],106,72,-,319,47,3
경북,칠곡군,사망[명],7,2,-,3,1,0
경북,칠곡군,부상[명],151,112,-,455,88,4
경북,예천군,사고[건],16,27,-,90,3,1
경북,예천군,사망[명],1,0,-,2,0,0
경북,예천군,부상[명],28,46,-,107,4,1
경북,봉화군,사고[건],25,19,-,51,-,26
경북,봉화군,사망[명],3,1,-,3,-,1
경북,봉화군,부상[명],50,23,-,73,-,29
경북,울진군,사고[건],27,9,-,137,-,2
경북,울진군,사망[명],2,0,-,3,-,0
경북,울진군,부상[명],50,17,-,194,-,2
경북,울릉군,사고[건],-,11,-,6,-,1
경북,울릉군,사망[명],-,1,-,0,-,0
경북,울릉군,부상[명],-,13,-,6,-,1
경북,경산시,사고[건],20,48,-,709,19,17
경북,경산시,사망[명],1,0,-,9,2,0
경북,경산시,부상[명],28,74,-,935,35,24
경남,진주시,사고[건],75,25,-,526,20,16
경남,진주시,사망[명],5,2,-,10,3,1
경남,진주시,부상[명],101,31,-,680,34,19
경남,통영시,사고[건],49,6,-,569,4,26
경남,통영시,사망[명],0,0,-,3,1,0
경남,통영시,부상[명],90,10,-,838,5,31
경남,김해시,사고[건],151,182,-,"1,454",130,51
경남,김해시,사망[명],2,0,-,13,2,0
경남,김해시,부상[명],226,261,-,"2,004",253,57
경남,밀양시,사고[건],110,93,-,222,30,-
경남,밀양시,사망[명],1,1,-,3,3,-
경남,밀양시,부상[명],179,125,-,295,94,-
경남,거제시,사고[건],206,106,-,298,1,98
경남,거제시,사망[명],4,3,-,7,0,1
경남,거제시,부상[명],316,139,-,380,3,129
경남,의령군,사고[건],27,11,-,61,-,3
경남,의령군,사망[명],1,0,-,0,-,0
경남,의령군,부상[명],53,11,-,84,-,3
경남,함안군,사고[건],29,41,-,108,35,58
경남,함안군,사망[명],0,2,-,5,2,0
경남,함안군,부상[명],61,60,-,158,56,69
경남,창녕군,사고[건],36,69,-,98,14,10
경남,창녕군,사망[명],5,2,-,7,1,1
경남,창녕군,부상[명],50,96,-,123,25,14
경남,양산시,사고[건],196,16,-,998,69,25
경남,양산시,사망[명],3,1,-,12,0,1
경남,양산시,부상[명],268,19,-,"1,324",119,27
경남,고성군,사고[건],54,59,-,62,-,17
경남,고성군,사망[명],1,1,-,1,-,1
경남,고성군,부상[명],83,88,-,80,-,20
경남,사천시,사고[건],24,3,-,512,6,6
경남,사천시,사망[명],0,0,-,15,2,0
경남,사천시,부상[명],47,3,-,708,8,6
경남,남해군,사고[건],52,15,-,69,-,12
경남,남해군,사망[명],3,2,-,1,-,0
경남,남해군,부상[명],88,19,-,88,-,16
경남,하동군,사고[건],23,18,-,25,4,48
경남,하동군,사망[명],2,6,-,1,0,0
경남,하동군,부상[명],29,23,-,32,11,58
경남,산청군,사고[건],64,45,-,52,4,35
경남,산청군,사망[명],7,0,-,1,0,2
경남,산청군,부상[명],106,74,-,67,5,42
경남,함양군,사고[건],44,28,-,107,10,1
경남,함양군,사망[명],8,1,-,3,2,0
경남,함양군,부상[명],76,47,-,144,19,1
경남,거창군,사고[건],10,24,-,179,2,7
경남,거창군,사망[명],0,2,-,8,0,0
경남,거창군,부상[명],13,33,-,221,2,9
경남,합천군,사고[건],50,42,-,73,2,2
경남,합천군,사망[명],4,2,-,5,0,0
경남,합천군,부상[명],60,51,-,94,2,2
경남,창원시(통합),사고[건],398,26,-,"2,398",49,109
경남,창원시(통합),사망[명],3,0,-,41,3,1
경남,창원시(통합),부상[명],572,46,-,"3,172",84,129
제주,제주시,사고[건],-,"2,254",-,103,-,383
제주,제주시,사망[명],-,22,-,0,-,3
제주,제주시,부상[명],-,"3,300",-,140,-,534
제주,서귀포시,사고[건],-,911,-,258,-,41
제주,서귀포시,사망[명],-,18,-,1,-,1
제주,서귀포시,부상[명],-,"1,488",-,374,-,48
대구,중구,사고[건],-,-,771,-,-,-
대구,중구,사망[명],-,-,5,-,-,-
대구,중구,부상[명],-,-,"1,133",-,-,-
대구,동구,사고[건],-,-,"1,544",-,22,21
대구,동구,사망[명],-,-,15,-,1,0
대구,동구,부상[명],-,-,"2,246",-,41,30
대구,서구,사고[건],-,-,"1,007",-,6,1
대구,서구,사망[명],-,-,7,-,0,0
대구,서구,부상[명],-,-,"1,430",-,10,2
대구,남구,사고[건],-,-,489,-,-,4
대구,남구,사망[명],-,-,2,-,-,0
대구,남구,부상[명],-,-,666,-,-,5
대구,북구,사고[건],-,-,"1,703",-,45,117
대구,북구,사망[명],-,-,12,-,1,1
대구,북구,부상[명],-,-,"2,378",-,94,142
대구,수성구,사고[건],-,-,"1,888",-,8,4
대구,수성구,사망[명],-,-,10,-,0,0
대구,수성구,부상[명],-,-,"2,765",-,21,5
대구,달서구,사고[건],-,-,"2,290",-,3,30
대구,달서구,사망[명],-,-,11,-,0,2
대구,달서구,부상[명],-,-,"3,114",-,4,34
대구,달성군,사고[건],-,-,801,-,35,25
대구,달성군,사망[명],-,-,8,-,4,0
대구,달성군,부상[명],-,-,"1,069",-,65,32
대구,군위군,사고[건],23,4,1,1,12,25
대구,군위군,사망[명],3,1,0,0,1,2
대구,군위군,부상[명],37,10,2,1,19,33
인천,중구,사고[건],-,-,588,-,23,2
인천,중구,사망[명],-,-,5,-,0,0
인천,중구,부상[명],-,-,811,-,37,3
인천,동구,사고[건],-,-,116,-,2,-
인천,동구,사망[명],-,-,3,-,0,-
인천,동구,부상[명],-,-,142,-,2,-
인천,미추홀구,사고[건],-,-,"1,308",-,16,13
인천,미추홀구,사망[명],-,-,14,-,0,0
인천,미추홀구,부상[명],-,-,"1,699",-,28,14
인천,부평구,사고[건],-,-,964,-,63,174
인천,부평구,사망[명],-,-,6,-,0,0
인천,부평구,부상[명],-,-,"1,215",-,87,206
인천,남동구,사고[건],-,-,"1,487",-,75,18
인천,남동구,사망[명],-,-,13,-,2,0
인천,남동구,부상[명],-,-,"2,056",-,117,21
인천,서구,사고[건],-,-,"1,292",-,37,9
인천,서구,사망[명],-,-,13,-,4,0
인천,서구,부상[명],-,-,"1,809",-,63,11
인천,연수구,사고[건],-,-,634,-,15,19
인천,연수구,사망[명],-,-,9,-,0,0
인천,연수구,부상[명],-,-,835,-,21,22
인천,계양구,사고[건],-,-,512,-,88,9
인천,계양구,사망[명],-,-,3,-,1,0
인천,계양구,부상[명],-,-,723,-,147,12
인천,강화군,사고[건],-,-,153,-,-,5
인천,강화군,사망[명],-,-,9,-,-,0
인천,강화군,부상[명],-,-,228,-,-,6
인천,옹진군,사고[건],-,-,26,-,-,-
인천,옹진군,사망[명],-,-,1,-,-,-
인천,옹진군,부상[명],-,-,32,-,-,-
광주,동구,사고[건],-,-,483,-,-,2
광주,동구,사망[명],-,-,5,-,-,0
광주,동구,부상[명],-,-,672,-,-,2
광주,서구,사고[건],-,-,"1,744",-,-,2
광주,서구,사망[명],-,-,6,-,-,0
광주,서구,부상[명],-,-,"2,758",-,-,2
광주,북구,사고[건],-,-,"2,063",-,38,4
광주,북구,사망[명],-,-,15,-,0,0
광주,북구,부상[명],-,-,"3,114",-,81,5
광주,광산구,사고[건],-,-,"1,871",-,18,13
광주,광산구,사망[명],-,-,20,-,1,0
광주,광산구,부상[명],-,-,"2,801",-,25,16
광주,남구,사고[건],-,-,733,-,-,1
광주,남구,사망[명],-,-,1,-,-,0
광주,남구,부상[명],-,-,"1,012",-,-,2
대전,동구,사고[건],-,-,"1,114",-,18,5
